Distrito Geografico,Nombre Escuela,Tipo Proyecto,Categoria Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Desviación Presupuestaria,Duración Proyectada,Cantidad Gastada a la Fecha
1,P.S. 19 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,"CM,F&E",In-Progress,480620,152212.0,-68.48,729.0,151513.0
1,P.S. 19 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,245920,224898.0,-98.29,364.0,4211.0
1,P.S. 19 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,49844,31896.0,-81.94,364.0,9000.0
1,P.S. 20 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,944133,297273.0,-71.59,629.0,268223.0
1,NEW EXPLORATIONS - M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,1369882,204592.0,-89.32,729.0,146352.0
1,LOWER EAST SIDE PREP HS - M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,201929,188076.0,-16.04,299.0,169532.0
1,P.S. 34 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,2211023,650299.0,-72.88,899.0,599535.0
1,P.S. 361 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Construction,In-Progress,2544967,2359829.0,-23.16,539.0,1955510.0
1,P.S. 361 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,222607,204544.0,-21.19,329.0,175427.0
1,P.S. 361 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,117815,102920.0,-39.64,329.0,71112.0
1,BARD COLLEGE HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Construction,In-Progress,3178051,2811396.0,-97.94,719.0,65435.0
1,BARD COLLEGE HS - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,364189,62879.0,-82.73,719.0,62879.0
1,P.S. 134 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,1734390,717658.0,-61.72,1029.0,663851.0
1,P.S. 184 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Construction,In-Progress,723155,753545.0,-30.05,364.0,505835.0
1,P.S. 184 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,151715,149779.0,-51.69,364.0,73298.0
1,P.S. 184 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,308893,280585.0,-21.21,329.0,243384.0
1,P.S. 184 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,165385,134685.0,-37.8,329.0,102877.0
1,P.S. 140 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,3571289,1036553.0,-71.11,1094.0,1031764.0
1,P.S. 140 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,251500,232972.0,-21.41,329.0,197652.0
1,P.S. 140 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,149910,133293.0,-32.3,329.0,101485.0
1,P.S. 142 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,604800,494522.0,-25.68,629.0,449493.0
1,UNIVERSITY NEIGHBORHOOD HS - M,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,In-Progress,720869,720869.0,-96.02,154.0,28699.0
2,P.S. 2 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,850799,55085.0,-93.55,729.0,54870.0
2,P.S. 3 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,235742,221652.0,-96.42,299.0,8443.0
2,P.S. 3 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,72482,54237.0,-55.45,299.0,32288.0
2,P.S. 6 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Construction,In-Progress,887607,549068.0,-48.07,274.0,460949.0
2,P.S. 6 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,"CM,F&E",In-Progress,201380,225541.0,-29.29,274.0,142394.0
2,P.S. 33 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,348863,311134.0,-99.35,299.0,2283.0
2,P.S. 33 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,102777,79102.0,-87.23,299.0,13121.0
2,P.S. 40 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,2237013,211198.0,-90.56,909.0,211198.0
2,I.S. 255 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Construction,In-Progress,643305,595403.0,-49.04,364.0,327835.0
2,P.S. 40 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Construction,In-Progress,834386,713992.0,-62.77,274.0,310616.0
2,P.S. 40 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,"CM,F&E",In-Progress,147027,182675.0,-22.73,274.0,113611.0
2,P.S. 41 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,1221137,113881.0,-90.71,849.0,113485.0
2,P.S. 42 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,955827,369685.0,-64.67,759.0,337723.0
2,P.S. 42 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,251458,227745.0,-99.66,299.0,853.0
2,P.S. 42 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,74914,55031.0,-57.79,299.0,31619.0
2,J.H.S. 47 (SCH FOR THE DEAF) - M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,3119625,3000612.0,-25.01,539.0,2339451.0
2,J.H.S. 47 (SCH FOR THE DEAF) - M,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,"CM,F&E",In-Progress,1731310,230056.0,-86.73,909.0,229809.0
2,P.S. 151 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,In-Progress,254254,254254.0,-97.66,156.0,5943.0
2,P.S. 151 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,120678,116860.0,-15.22,299.0,102313.0
2,P.S. 89 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,75672,59055.0,-87.27,364.0,9635.0
2,I.S. 104 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transporte / movilidad,Construction,In-Progress,1327691,1269565.0,-95.24,329.0,63185.0
2,I.S. 104 - MANHATTAN,Mejoras Asociadas a Programas Académicos (RESOA),Transporte / movilidad,"CM,F&E",In-Progress,90524,131835.0,-56.4,329.0,39472.0
2,P.S. 111 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Construction,In-Progress,259840,237982.0,-99.62,364.0,975.0
2,P.S. 111 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,"CM,F&E",In-Progress,52424,33093.0,-83.02,364.0,8901.0
