Distrito Geografico,ID Edificio,Nombre Escuela,Tipo de Proyecto,Descripción del Proyecto,Fase del Proyecto,Estado del Proyecto,Fecha de Inicio,Fecha de Fin Proyectada,Fecha de Fin Real,Presupuesto del Proyecto,Presupuesto Final Estimado,Cantidad Real Gastada
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,4/13/2021,9/13/2021,7/1/2021,68660,70899.0,70899.0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,7/6/2021,12/7/2021,11/29/2021,343300,362786.0,298189.0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/22/2023,10/23/2023,7/6/2023,4240,1518.0,1518.0
1,M019,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/6/2023,1/3/2024,12/13/2023,19080,6074.0,6074.0
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Scope,Complete,5/26/2021,10/12/2021,1/21/2022,124674,160738.0,160738.0
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Design,Complete,1/21/2022,6/22/2022,5/10/2022,613841,521613.0,513485.0
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,4/22/2021,9/7/2021,12/21/2021,195550,193921.0,191326.0
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,12/22/2021,6/10/2022,9/16/2022,977750,605106.0,444554.0
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Scope,Complete,10/23/2018,3/13/2019,1/24/2020,118770,254063.0,253255.0
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Design,Complete,1/24/2020,6/24/2020,5/5/2021,586080,582536.0,525486.0
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Construction,Complete,8/13/2021,8/11/2024,8/14/2024,12514695,12763307.0,11212816.0
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,"CM,F&E",Complete,8/13/2021,8/11/2024,8/14/2024,889665,1281548.0,1217784.0
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/25/2020,10/26/2020,7/21/2020,3482,4450.0,4450.0
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/21/2020,1/15/2021,3/30/2021,15667,17800.0,17800.0
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS / SCHOOLYARD RESURFACING,Scope,Complete,10/19/2018,12/30/2019,3/31/2020,294023,340316.0,330125.0
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS / SCHOOLYARD RESURFACING,Design,Complete,12/7/2020,5/10/2021,5/18/2021,1450039,1134398.0,1038316.0
