Tipo Proyecto,Categoria Proyecto,Fase del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Desviación Presupuestaria,Duración Proyectada,Gasto a la Fecha Estimado,Probabilidad,Impacto,Cantidad Real Gastada
Proyecto de Mejoramiento General (CIP),Control climático,Scope,68660,70899.0,3.26,153.0,57542.14,2.968333333333333,3.3241666666666667,70899.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,343300,362786.0,-13.14,154.0,310411.73,3.1579999999999995,3.7333333333333334,298189.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,19080,6074.0,-68.17,181.0,5087.16,2.9396666666666667,3.583333333333333,6074.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,124674,160738.0,28.93,139.0,108330.51,2.9647712418300647,3.3494444444444444,160738.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,613841,521613.0,-16.35,152.0,454822.64,3.213,3.796666666666667,513485.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,195550,193921.0,-2.16,138.0,166063.6,2.9647712418300647,3.3494444444444444,191326.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,118770,254063.0,113.23,141.0,122858.5,2.9647712418300647,3.3494444444444444,253255.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,586080,582536.0,-10.34,152.0,468369.43,3.1278823529411763,3.664444444444445,525486.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,15667,17800.0,13.61,178.0,12925.24,2.945660130718954,3.522222222222222,17800.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,27380,42814.0,56.37,91.0,25394.88,2.968333333333333,3.3241666666666667,42814.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,136900,171027.0,12.79,189.0,124278.2,3.018,3.618333333333333,154403.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,53927,78550.0,45.66,123.0,44855.82,2.968333333333333,3.3241666666666667,78550.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,259893,201922.0,-29.14,189.0,184940.42,3.0912156862745097,3.6222222222222222,184167.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,22622,11835.0,-47.68,135.0,10587.47,2.8899999999999997,3.2891666666666666,11835.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,113110,118178.0,1.56,156.0,93927.07,2.997882352941176,3.5455555555555556,114874.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,17271,9450.0,-45.28,182.0,9451.92,2.9396666666666667,3.583333333333333,9450.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,111561,221145.0,94.59,138.0,117281.05,2.9647712418300647,3.3494444444444444,217082.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,551747,733548.0,20.3,153.0,483705.5,3.213,3.796666666666667,663725.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,39541,50839.0,28.47,120.0,29760.42,2.9647712418300647,3.3494444444444444,50800.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,186049,145846.0,-42.6,154.0,109053.66,2.997882352941176,3.5455555555555556,106797.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,73176,195932.0,142.76,139.0,112249.6,2.9647712418300647,3.3494444444444444,177643.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,355589,310017.0,-18.28,174.0,274058.05,3.0912156862745097,3.6222222222222222,290581.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,371656,171214.0,-53.93,141.0,147769.05,3.1083333333333334,3.4391666666666665,171214.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,62520,98375.0,19.11,156.0,52346.8,2.997882352941176,3.5455555555555556,74465.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,23966,10640.0,-55.6,182.0,11211.53,2.9396666666666667,3.583333333333333,10640.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,504775,543899.0,0.2,141.0,418512.39,3.163333333333333,3.5025,505763.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,19513,17729.0,-9.14,182.0,13810.15,2.9396666666666667,3.583333333333333,17729.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,86400,152029.0,75.96,181.0,93353.13,2.968333333333333,3.3241666666666667,152029.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,154686,233284.0,-42.57,138.0,102602.85,2.9647712418300647,3.3494444444444444,88837.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,373649,159135.0,-57.41,143.0,149518.6,3.1083333333333334,3.4391666666666665,159120.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,26919,6899.0,-74.37,179.0,6040.29,3.018,3.618333333333333,6899.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,113406,3077.0,-97.29,123.0,6801.0,2.9647712418300647,3.3494444444444444,3077.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,16830,3780.0,-77.54,177.0,3524.94,2.9396666666666667,3.583333333333333,3780.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,18290,6342.0,-65.33,181.0,5481.83,2.9396666666666667,3.583333333333333,6342.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,60518,89611.0,33.2,56.0,47538.39,3.018,3.618333333333333,80611.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,22694,5176.0,-77.19,177.0,4642.41,2.9396666666666667,3.583333333333333,5176.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,39007,69397.0,77.91,151.0,29055.31,2.9647712418300647,3.3494444444444444,69397.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,6015,5355.0,-10.97,120.0,9053.53,2.8899999999999997,3.2891666666666666,5355.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,27067,21421.0,-20.86,182.0,20709.45,3.018,3.618333333333333,21421.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,319430,368295.0,14.42,135.0,316415.9,3.0581045751633984,3.4261111111111107,365506.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,43862,72006.0,60.63,170.0,35875.67,3.018,3.618333333333333,70456.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,56890,79380.0,23.71,120.0,43405.11,3.018,3.618333333333333,70380.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,172368,155663.0,-10.77,139.0,140855.58,2.9647712418300647,3.3494444444444444,153802.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,19773,6457.0,-67.34,177.0,5883.0,2.9396666666666667,3.583333333333333,6457.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,129854,175514.0,30.89,139.0,119459.1,2.9647712418300647,3.3494444444444444,169963.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,643030,611673.0,-13.48,152.0,498556.42,3.213,3.796666666666667,556378.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,19510,6698.0,-65.67,181.0,5584.37,2.9396666666666667,3.583333333333333,6698.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,27730,54369.0,96.07,93.0,25753.31,2.968333333333333,3.3241666666666667,54369.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,138650,355523.0,61.59,184.0,296593.18,2.997882352941176,3.5455555555555556,224041.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,247331,323214.0,30.68,138.0,243166.33,3.0581045751633984,3.4261111111111107,323204.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,54409,139006.0,19.6,139.0,90393.2,2.9647712418300647,3.3494444444444444,65071.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,9363,24772.0,164.57,178.0,12187.41,2.945660130718954,3.522222222222222,24772.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,195787,126845.0,-39.17,135.0,116804.86,3.018,3.618333333333333,119106.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Scope,5615,5615.0,-97.68,96.0,775.27,2.8899999999999997,3.2891666666666666,130.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,521,521.0,0.0,124.0,8741.42,2.9396666666666667,3.583333333333333,521.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,18720,19334.0,3.28,182.0,13788.25,2.9396666666666667,3.583333333333333,19334.0
Mejoras Asociadas a Programas Académicos (RESOA),Transporte / movilidad,Design,90524,94457.0,-12.13,126.0,78311.97,3.018,3.618333333333333,79543.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,20160,14814.0,-26.52,183.0,11865.27,2.9396666666666667,3.583333333333333,14814.0
Mejoras Asociadas a Programas Académicos (RESOA),Programas educativos,Design,45750,111363.0,76.85,156.0,59712.84,2.997882352941176,3.5455555555555556,80911.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,154300,247640.0,60.49,181.0,138960.19,2.968333333333333,3.3241666666666667,247640.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,771500,449392.0,-41.75,229.0,426768.56,3.213,3.796666666666667,449392.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,42000,53366.0,-71.83,137.0,11242.84,3.018,3.618333333333333,11831.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,279097,290155.0,3.96,141.0,231316.15,3.1083333333333334,3.4391666666666665,290155.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,25403,10465.0,-58.8,179.0,11772.33,3.018,3.618333333333333,10465.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,36000,52960.0,43.59,141.0,28704.65,3.018,3.618333333333333,51692.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,30137,38340.0,27.22,133.0,25657.28,2.9647712418300647,3.3494444444444444,38340.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,145516,225920.0,30.01,188.0,131580.5,2.997882352941176,3.5455555555555556,189181.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,31610,51774.0,0.78,144.0,27243.24,2.997882352941176,3.5455555555555556,31855.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,301587,179754.0,-50.22,115.0,154154.35,3.0912156862745097,3.6222222222222222,150125.0
Mejoras Asociadas a Programas Académicos (RESOA),Programas educativos,Design,36000,58475.0,38.62,147.0,28830.7,3.018,3.618333333333333,49903.0
Mejoras Asociadas a Programas Académicos (RESOA),Sistemas de seguridad,Design,30000,2836.0,-90.55,182.0,2751.76,3.018,3.618333333333333,2836.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,291517,386048.0,25.79,152.0,317755.78,3.1579999999999995,3.7333333333333334,366697.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,643687,234030.0,-97.52,154.0,11207.25,3.1278823529411763,3.664444444444445,15990.0
Mejoras Asociadas a Programas Académicos (RESOA),Sistemas de seguridad,Design,27000,19762.0,-26.81,178.0,18954.15,3.018,3.618333333333333,19762.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,143751,187935.0,-16.1,153.0,129656.99,3.018,3.618333333333333,120611.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,30637,756.0,-97.53,91.0,1156.28,2.968333333333333,3.3241666666666667,756.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,15033,22743.0,51.29,176.0,13027.27,2.9396666666666667,3.583333333333333,22743.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,18586,8012.0,-56.89,177.0,8486.56,2.9396666666666667,3.583333333333333,8012.0
Proyecto de Mejoramiento General (CIP),Proyectos ambientales,Scope,18284,40499.0,116.82,120.0,15630.96,2.9125490196078427,3.326111111111111,39644.0
Proyecto de Mejoramiento General (CIP),Proyectos ambientales,Design,82275,61758.0,-32.12,183.0,51298.88,2.997882352941176,3.5455555555555556,55851.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,30000,43563.0,38.05,130.0,26250.01,2.997882352941176,3.5455555555555556,41415.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,15052,29640.0,96.92,174.0,14621.62,2.945660130718954,3.522222222222222,29640.0
Proyecto de Mejoramiento General (CIP),Otro,Scope,176680,154529.0,-12.54,153.0,141326.01,2.9647712418300647,3.3494444444444444,154529.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,98775,132497.0,34.14,139.0,94179.48,2.968333333333333,3.3241666666666667,132497.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,492101,415286.0,-29.89,153.0,362210.81,3.1278823529411763,3.664444444444445,345032.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,15380,27643.0,79.73,178.0,13427.08,2.9396666666666667,3.583333333333333,27643.0
Mejoras Asociadas a Programas Académicos (RESOA),Infraestructura escolar,Design,125400,121298.0,-26.24,120.0,94426.67,3.018,3.618333333333333,92493.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,198200,239364.0,-3.87,120.0,172632.34,3.0581045751633984,3.4261111111111107,190528.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,37305,99671.0,167.18,253.0,37085.34,2.968333333333333,3.3241666666666667,99671.0
Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,180483,354828.0,96.6,246.0,298855.64,2.997882352941176,3.5455555555555556,354828.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,198437,442128.0,112.38,137.0,335873.11,3.0581045751633984,3.4261111111111107,421448.0
Proyecto de Mejoramiento General (CIP),Control climático,Scope,32665,47985.0,46.9,131.0,27112.78,2.9647712418300647,3.3494444444444444,47985.0
Proyecto de Mejoramiento General (CIP),Control climático,Design,159563,219339.0,15.02,154.0,136479.74,2.997882352941176,3.5455555555555556,183527.0
Mejoras Asociadas a Programas Académicos (RESOA),Transformaciones internas,Design,234785,93740.0,-61.86,140.0,82884.47,3.0912156862745097,3.6222222222222222,89548.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,90044,180570.0,100.54,141.0,111272.43,2.968333333333333,3.3241666666666667,180570.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,437233,342685.0,-25.85,153.0,313284.04,3.0912156862745097,3.6222222222222222,324197.0
Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,71190,119477.0,67.83,90.0,79219.79,2.9647712418300647,3.3494444444444444,119477.0
