Distrito Geografico,Nombre Escuela,Tipo de Proyecto,Descripción del Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Cantidad Real Gastada,Duración Proyectada,Duración Real,Retraso,Desviación Presupuestaria
1,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,68660,70899.0,70899.0,153.0,79.0,-74.0,3.26
1,P.S. 19 - MANHATTAN,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,343300,362786.0,298189.0,154.0,146.0,-8.0,-13.14
1,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,4240,1518.0,1518.0,123.0,14.0,-109.0,-64.2
1,P.S. 19 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,19080,6074.0,6074.0,181.0,160.0,-21.0,-68.17
1,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Scope,Complete,124674,160738.0,160738.0,139.0,240.0,101.0,28.93
1,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Design,Complete,613841,521613.0,513485.0,152.0,109.0,-43.0,-16.35
1,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,195550,193921.0,191326.0,138.0,243.0,105.0,-2.16
1,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,977750,605106.0,444554.0,170.0,268.0,98.0,-54.53
1,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Scope,Complete,118770,254063.0,253255.0,141.0,458.0,317.0,113.23
1,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Design,Complete,586080,582536.0,525486.0,152.0,467.0,315.0,-10.34
1,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Construction,Complete,12514695,12763307.0,11212816.0,1094.0,1097.0,3.0,-10.4
1,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,"CM,F&E",Complete,889665,1281548.0,1217784.0,1094.0,1097.0,3.0,36.88
1,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,3482,4450.0,4450.0,123.0,26.0,-97.0,27.8
1,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,15667,17800.0,17800.0,178.0,252.0,74.0,13.61
1,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS / SCHOOLYARD RESURFACING,Scope,Complete,294023,340316.0,330125.0,437.0,529.0,92.0,12.28
1,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS / SCHOOLYARD RESURFACING,Design,Complete,1450039,1134398.0,1038316.0,154.0,162.0,8.0,-28.39
1,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,27380,42814.0,42814.0,91.0,83.0,-8.0,56.37
1,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,136900,171027.0,154403.0,189.0,183.0,-6.0,12.79
1,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,53927,78550.0,78550.0,123.0,78.0,-45.0,45.66
1,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,259893,201922.0,184167.0,189.0,273.0,84.0,-29.14
1,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Scope,Complete,22622,11835.0,11835.0,135.0,164.0,29.0,-47.68
1,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Design,Complete,113110,118178.0,114874.0,156.0,229.0,73.0,1.56
1,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3838,2363.0,2363.0,120.0,20.0,-100.0,-38.43
1,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,17271,9450.0,9450.0,182.0,56.0,-126.0,-45.28
1,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,111561,221145.0,217082.0,138.0,186.0,48.0,94.59
1,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,551747,733548.0,663725.0,153.0,174.0,21.0,20.3
1,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A PLAYGROUND UPGRADE,Design,Complete,74829,139951.0,78818.0,135.0,1421.0,1286.0,5.33
1,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE,Design,Complete,2354,22197.0,15280.0,171.0,1124.0,953.0,549.11
1,BARD COLLEGE HS - MANHATTAN,SCA CIP,WASTE SYSTEM / PARAPETS / EXTERIOR MASONRY,Scope,Complete,39541,50839.0,50800.0,120.0,159.0,39.0,28.47
