Distrito Geografico,Nombre Escuela,Tipo Proyecto,Categoria Proyecto,Fase del Proyecto,Estado del Proyecto,Presupuesto del Proyecto,Presupuesto Final Estimado,Desviación Presupuestaria,Duración Proyectada,Duración Real,Retraso,Cantidad Real Gastada
1,P.S. 19 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Scope,Complete,68660,70899.0,3.26,153.0,79.0,-74.0,70899.0
1,P.S. 19 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Design,Complete,343300,362786.0,-13.14,154.0,146.0,-8.0,298189.0
1,P.S. 19 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,19080,6074.0,-68.17,181.0,160.0,-21.0,6074.0
1,P.S. 20 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,124674,160738.0,28.93,139.0,240.0,101.0,160738.0
1,P.S. 20 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,613841,521613.0,-16.35,152.0,109.0,-43.0,513485.0
1,NEW EXPLORATIONS - M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,Complete,195550,193921.0,-2.16,138.0,243.0,105.0,191326.0
1,LOWER EAST SIDE PREP HS - M,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,118770,254063.0,113.23,141.0,458.0,317.0,253255.0
1,LOWER EAST SIDE PREP HS - M,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,586080,582536.0,-10.34,152.0,467.0,315.0,525486.0
1,LOWER EAST SIDE PREP HS - M,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,15667,17800.0,13.61,178.0,252.0,74.0,17800.0
1,J.H.S. 292 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Scope,Complete,27380,42814.0,56.37,91.0,83.0,-8.0,42814.0
1,J.H.S. 292 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,136900,171027.0,12.79,189.0,183.0,-6.0,154403.0
1,EAST SIDE COMMUNITY SCHOOL,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Scope,Complete,53927,78550.0,45.66,123.0,78.0,-45.0,78550.0
1,EAST SIDE COMMUNITY SCHOOL,Proyecto de Mejoramiento General (CIP),Mejoras exteriores,Design,Complete,259893,201922.0,-29.14,189.0,273.0,84.0,184167.0
1,P.S. 361 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Scope,Complete,22622,11835.0,-47.68,135.0,164.0,29.0,11835.0
1,P.S. 361 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Control climático,Design,Complete,113110,118178.0,1.56,156.0,229.0,73.0,114874.0
1,P.S. 361 - MANHATTAN,Proyecto de Mejoramiento General (CIP),Sistemas de seguridad,Design,Complete,17271,9450.0,-45.28,182.0,56.0,-126.0,9450.0
